chrom	start	end	region	is_bad_bin	log2_insulation_score_50000	n_valid_pixels_50000	log2_insulation_score_100000	n_valid_pixels_100000	log2_insulation_score_500000	n_valid_pixels_500000	boundary_strength_50000	boundary_strength_500000	boundary_strength_100000	is_boundary_50000	is_boundary_100000	is_boundary_500000
chr17	400000	410000	chr17	False	-0.4520388867292291	22.0	-0.21445782374484454	57.0	0.8671670319960766	1212.0	0.7500223662187497			True	False	False
chr17	720000	730000	chr17	False	-0.40322228315051695	22.0	-0.5585606504755235	97.0	0.07844245277035865	2197.0	0.7710292197461195		1.326143433257625	True	True	False
chr17	990000	1000000	chr17	False	-0.7759751613536463	22.0	-0.6254736380187644	97.0	-0.23700409172176795	2447.0	1.4180789212773706		1.351431372331494	True	True	False
chr17	1260000	1270000	chr17	False	-0.1799735114771424	22.0	-0.014196584160139311	97.0	-0.33485250058217847	2497.0	0.49146509919786896			True	False	False
chr17	1340000	1350000	chr17	False	-0.03715547386046157	22.0	0.16782698497999524	97.0	-0.10313727363969394	2497.0	0.57710843798995		0.1728855238358337	True	False	False
chr17	1550000	1560000	chr17	False	-0.1384917482485256	22.0	0.036715312692131574	97.0	-0.2944241230458854	2497.0	0.6894808265538276			True	False	False
chr17	1640000	1650000	chr17	False	-0.5769540629224692	22.0	-0.46270117653276505	97.0	-0.5734261296035926	2497.0	1.1191061319421802			True	False	False
chr17	1890000	1900000	chr17	False	-0.22894706867197565	22.0	-0.2720422919179986	97.0	-0.10120802657740009	2497.0	0.7221669969024701		0.6555857079552984	True	True	False
chr17	2040000	2050000	chr17	False	-0.7277001923030862	22.0	-0.7412976010055501	97.0	-0.054359814779952165	2497.0	1.3003698269220032	0.20528156500514752		True	False	False
chr17	2290000	2300000	chr17	False	-0.16517393860221272	22.0	-0.30450439326185574	97.0	-0.29208980115598676	2497.0	0.33212427253494003			True	False	False
chr17	2420000	2430000	chr17	False	-0.22008534055956286	22.0	-0.2137632693620227	97.0	-0.27858981208145495	2497.0	0.5765636985219134		0.0903739874565808	True	False	False
chr17	2690000	2700000	chr17	False	-0.36742448605077116	22.0	-0.4960929770075249	97.0	-0.3679883972235639	2447.0	0.441700025161348		1.1479081708583438	True	True	False
chr17	2830000	2840000	chr17	False	-0.3831164158495531	22.0	-0.19403452093304072	97.0	-0.26230620941400606	2397.0	0.7923782212795152			True	False	False
chr17	3040000	3050000	chr17	False	-1.0715710697988363	17.0	-1.2634769244177102	87.0	-0.4109349997514148	2397.0	1.7783169198176976		2.024295905120163	True	True	False
chr17	3430000	3440000	chr17	False	-0.1204063861285208	22.0	-0.11799266780744541	97.0	0.36931073030543493	2397.0	0.39562961075240805		0.3330956038091422	True	True	False
chr17	3670000	3680000	chr17	False	-0.47798214561369734	22.0	-0.7082406040737996	97.0	-0.9218016179784277	2447.0	0.9520034380710719	1.1985201886376353	1.2214202015567446	True	True	True
chr17	3830000	3840000	chr17	False	-0.21262778524009857	22.0	-0.24445177484121558	97.0	-0.502214330365513	2497.0	0.6706712538002866			True	False	False
chr17	3910000	3920000	chr17	False	-0.17396986179746574	22.0	0.030634391930979634	97.0	-0.24646870892037304	2497.0	0.4073217946335771			True	False	False
chr17	4010000	4020000	chr17	False	-0.308091820343895	22.0	-0.012349585088351045	97.0	-0.13599857303937868	2497.0	0.8200263852705445			True	False	False
chr17	4410000	4420000	chr17	False	-0.5222773422198066	22.0	-0.510159736959167	97.0	-0.0701244590322217	2497.0	1.094681656201126		1.0181318662090375	True	True	False
chr17	4550000	4560000	chr17	False	-0.46244026325697024	22.0	-0.2176495388968472	97.0	-0.23167903034148238	2497.0	0.819633544094851			True	False	False
chr17	4710000	4720000	chr17	False	-0.3834948092255937	22.0	-0.2631652136414777	97.0	-0.2373402107511295	2497.0	1.0297804016168546			True	False	False
chr17	4800000	4810000	chr17	False	-0.04720969084609541	22.0	0.4375575365080756	97.0	-0.08053359092509157	2497.0	0.4801062895269881	0.0028809998005280835		True	False	False
chr17	4890000	4900000	chr17	False	-0.6231760948622499	22.0	-0.399575196753769	97.0	-0.4294067525384193	2497.0	1.105683529817332			True	False	False
chr17	4970000	4980000	chr17	False	-0.13966586519699098	22.0	-0.04407765189935846	97.0	-0.57032481977374	2497.0	0.3762360643906534			True	False	False
chr17	5090000	5100000	chr17	False	-0.15276238751042823	22.0	-0.08090382989300159	97.0	-0.6219706919441503	2497.0	0.42211869647905653			True	False	False
chr17	5240000	5250000	chr17	False	-0.2102106274139077	22.0	-0.08590044273803328	97.0	-0.5503897664224384	2497.0	0.5648062431569227			True	False	False
chr17	5310000	5320000	chr17	False	0.1421745845540025	22.0	0.309817361650883	97.0	-0.468640540415379	2497.0	0.3107391216005833			True	False	False
chr17	5470000	5480000	chr17	False	-0.3230773651438558	22.0	-0.5939322815916154	97.0	-1.0163323035618126	2497.0	0.3967353333909893		1.086611383921995	True	True	False
chr17	5580000	5590000	chr17	False	-0.4807541579279394	22.0	-0.5171813036997204	97.0	-0.6150658269126728	2497.0	0.6795236909703712		0.10489531457473583	True	False	False
chr17	5710000	5720000	chr17	False	-0.31223634262971534	22.0	-0.04676378130043379	97.0	0.15411851732939835	2497.0	0.4739828999159255			True	False	False
chr17	6060000	6070000	chr17	False	-0.4391996898267852	22.0	-0.39670278390463987	97.0	0.8784967428640733	2497.0	0.5329396086085058		0.6337911793001125	True	True	False
chr17	6270000	6280000	chr17	False	-0.5743946736538017	22.0	-0.42010576624656976	97.0	0.12954230084389143	2497.0	0.8869617633038064		0.7215370810306684	True	True	False
chr17	6430000	6440000	chr17	False	-1.1525167031482126	22.0	-1.213346207960536	97.0	-0.6753419404672408	2497.0	1.925554995621447		1.8977616258570724	True	True	False
chr17	6650000	6660000	chr17	False	-0.8035016743690871	22.0	-0.7728613777303942	97.0	-0.5490737274664532	2497.0	1.3146586548505934		1.2342299524904483	True	True	False
chr17	6900000	6910000	chr17	False	-0.05693574792611167	22.0	0.14292288471968004	97.0	-0.05764558130711459	2497.0	0.372439519024149			True	False	False
chr17	7030000	7040000	chr17	False	-0.9468066576620183	22.0	-0.9299529372354818	97.0	-0.6164082999007581	2497.0	1.4585452634239693			True	False	False
chr17	7180000	7190000	chr17	False	-0.4057972126223107	22.0	-0.554793304967057	97.0	-0.684598585259176	2497.0	1.1655247753381948			True	False	False
chr17	7340000	7350000	chr17	False	0.03013411523433519	22.0	-0.0073794317331604	97.0	-0.3957221552142383	2497.0	0.4027102156661848		0.2258503943673348	True	False	False
chr17	7490000	7500000	chr17	False	0.11811093538035719	22.0	0.2380247902910825	97.0	-0.24953147969723405	2497.0	0.3782840555762076		0.038749136998888684	True	False	False
chr17	7570000	7580000	chr17	False	-0.3284887753549327	22.0	-0.29166813921902474	97.0	-0.5450837356556193	2497.0	0.9008178068625191		0.6524134747074246	True	True	False
chr17	7720000	7730000	chr17	False	-0.31859734636764103	22.0	-0.4132000066803065	97.0	-0.5016665441960675	2497.0	0.8786933277139097		0.8541827481916963	True	True	False
chr17	7820000	7830000	chr17	False	0.015172251523800697	22.0	0.24576446987071526	97.0	-0.09369782541301946	2497.0	0.5309643836573437			True	False	False
chr17	7980000	7990000	chr17	False	0.09676388506661944	22.0	0.5465448243661786	97.0	0.032392948505421695	2497.0	0.35468614354332767			True	False	False
chr17	8050000	8060000	chr17	False	-0.22962300647518705	22.0	-0.2199447371147298	97.0	-0.31644069272803643	2497.0	0.691243293254028			True	False	False
chr17	8120000	8130000	chr17	False	-0.1695285515242895	22.0	-0.12537754645506405	97.0	-0.4783314539226201	2497.0	0.6197144090144543	0.016702513425567167	0.11717759393594133	True	False	False
chr17	8220000	8230000	chr17	False	-0.13144980266382683	22.0	-0.14926840212897668	97.0	-0.5563253231644667	2497.0	0.36732878957341153	0.09022893903493073	0.23975532336919514	True	False	False
chr17	8300000	8310000	chr17	False	0.04173966148712443	22.0	0.12242839827095289	97.0	-0.4943901265675689	2497.0	0.31442619941315547			True	False	False
chr17	8380000	8390000	chr17	False	-0.37634576425126354	22.0	-0.29903077460520344	97.0	-0.5848285561303238	2497.0	0.9403557625979935	0.6851057223323935	0.8626831855872017	True	True	True
chr17	8630000	8640000	chr17	False	-0.02611864255781047	22.0	0.3269949469578649	97.0	0.08559830540537891	2497.0	0.3752824875381818			True	False	False
chr17	8790000	8800000	chr17	False	-0.2639199891583187	22.0	-0.3316457024561826	97.0	-0.3539393312967346	2497.0	0.5605541506985301	0.46598975147725274		True	False	True
chr17	8890000	8900000	chr17	False	-0.4744365349550367	22.0	-0.1891151460923726	97.0	-0.3344991018321229	2497.0	0.6649187336739403	0.04991242046489125	0.08024009133480173	True	False	False
chr17	8990000	9000000	chr17	False	-0.6227245242611781	22.0	-0.5873783515985177	97.0	-0.14978281573543734	2497.0	0.8965158068853095		0.9990782718499664	True	True	False
chr17	9110000	9120000	chr17	False	-0.1627337010988066	22.0	0.17022827158041007	97.0	0.3708011656868759	2497.0	0.35380752716680985			True	False	False
chr17	9550000	9560000	chr17	False	-0.8281284441613969	22.0	-0.956076648869908	97.0	-0.43728434748923833	2497.0	1.133402667724684		1.3826025781562667	True	True	False
chr17	9710000	9720000	chr17	False	-0.3104915988954766	22.0	-0.40517666119910056	97.0	-0.5230874970991486	2497.0	0.5654749107703771	0.9053557649213668	0.6159590792567334	True	True	True
chr17	9900000	9910000	chr17	False	-0.5021214110347485	22.0	-0.5396794397885061	97.0	-0.45774571556049426	2497.0	0.8070558772998386	0.09184864247948454		True	False	False
chr17	9980000	9990000	chr17	False	-0.4029739968100063	22.0	-0.3605644908551591	97.0	-0.07831756209678606	2497.0	0.4272982844288155			True	False	False
chr17	10280000	10290000	chr17	False	-0.3936676229198276	22.0	-0.6294031181813547	97.0	0.0033877383875995978	2497.0	0.5601645050956648	0.2577627568738584		True	False	False
chr17	10620000	10630000	chr17	False	-1.0261121754067963	22.0	-1.0220779138867813	97.0	-0.6432914795751581	2497.0	1.740414147205263		1.6905828023121208	True	True	False
chr17	10730000	10740000	chr17	False	-0.42303420682158954	22.0	-0.37254950352858895	97.0	-0.7466875068841874	2497.0	0.5205655465096868			True	False	False
chr17	10860000	10870000	chr17	False	-0.8602432044272206	22.0	-0.9825481425175142	97.0	-0.7992374658668131	2497.0	1.4106194433378514			True	False	False
chr17	11990000	12000000	chr17	False	-0.8237596628872549	22.0	-0.9258630371672132	97.0	-0.9405948205403883	2447.0	1.0405659228784945	1.8087047116114423	1.0699786168475622	True	True	True
chr17	12170000	12180000	chr17	False	-0.4955839297815224	22.0	-0.613108243693431	97.0	-0.49575686178164846	2447.0	0.6058598189238514			True	False	False
chr17	12250000	12260000	chr17	False	-0.3344487487285161	22.0	-0.154052314687752	97.0	0.06320754673745763	2447.0	0.37664182577316646		0.014267046296571884	True	False	False
chr17	12530000	12540000	chr17	False	-0.2520935064910906	22.0	-0.10415433047039968	87.0	0.8668266296770151	2447.0	0.3273842207895063			True	False	False
chr17	12660000	12670000	chr17	False	-0.5983189481567015	22.0	-0.34046374900517	97.0	0.5911445127112523	2447.0	0.8113274599046136		0.16862539474754368	True	False	False
chr17	12740000	12750000	chr17	False	-0.41824824870387667	22.0	-0.35836001966126757	97.0	0.2243036713152372	2447.0	0.4875006090507766			True	False	False
chr17	13020000	13030000	chr17	False	-1.394163084126716	22.0	-1.4763213979306335	97.0	-1.0922767116601053	2497.0	2.8388696295684186	1.8999717682568893	2.3498358768634517	True	True	True
chr17	13310000	13320000	chr17	False	-0.4690536489887467	22.0	-0.46573800186029735	97.0	0.20579551757706374	2497.0	0.4973982611730072			True	False	False
chr17	13590000	13600000	chr17	False	-0.8691678828212925	22.0	-0.7834734230875233	97.0	0.4404740230243075	2497.0	0.9100346100191774	0.09633522379479709	0.7846415204594036	True	True	False
chr17	14290000	14300000	chr17	False	-0.9507133684676041	22.0	-0.8894393945767244	97.0	0.008372526093017271	2497.0	0.9929331248823933			True	False	False
chr17	14810000	14820000	chr17	False	-0.5496984629623576	22.0	-0.4054053647456188	97.0	0.3298824872393286	2497.0	0.5173698755950837		0.4452324878254717	True	True	False
chr17	14930000	14940000	chr17	False	-0.46709822549271696	22.0	-0.375202697444011	97.0	0.18535192767103967	2497.0	0.3792098239699442		0.1931164165867402	True	False	False
chr17	15240000	15250000	chr17	False	-0.8502395282168225	22.0	-0.9808654787508366	97.0	-0.45070844702970314	2497.0	0.9404633647885025			True	False	False
chr17	15530000	15540000	chr17	False	-0.6813562551633292	22.0	-0.7212359391169109	97.0	-0.26311609800648905	2497.0	0.9100436542422905		1.1604261088871792	True	True	False
chr17	15810000	15820000	chr17	False	-0.47797746355003823	22.0	-0.4858765492426311	97.0	-0.1433662957518919	2497.0	0.4848256305919127			True	False	False
chr17	16000000	16010000	chr17	False	-0.5000457819338949	22.0	-0.4785410588609627	97.0	-0.24517682051950745	2497.0	0.7439455600457411		1.0172891752283786	True	True	False
chr17	16350000	16360000	chr17	False	-0.3789052100074619	22.0	-0.3630043972102268	97.0	-0.6604770998042976	2347.0	0.5172736738452522			True	False	False
chr17	16440000	16450000	chr17	False	-0.6064826926542086	22.0	-0.2573910549941941	97.0	-0.578085088503829	2347.0	0.9583324926431347			True	False	False
chr17	16530000	16540000	chr17	False	-0.47414784339863597	22.0	-0.2964368904036079	97.0	-0.31825593473211083	2347.0	0.8498155271726786		0.542297979223909	True	True	False
chr17	16690000	16700000	chr17	False	-0.3087978641951979	22.0	-0.1716623652830324	97.0	-0.18193071919677434	2347.0	0.6830626177878114			True	False	False
chr17	16890000	16900000	chr17	False	-0.12219902587723079	22.0	-0.023151255959926155	67.0	-0.3773415447435558	2347.0	0.3589375214178074			True	False	False
chr17	16990000	17000000	chr17	False	-0.3774832867083516	22.0	-0.12666262340190498	97.0	-0.19696480331823213	2347.0	0.646778403534901		0.2678395385922062	True	False	False
chr17	17340000	17350000	chr17	False	-0.6959558026698204	22.0	-0.6491603668198825	97.0	-0.19999032864209954	2497.0	1.1822610504323272		1.1574298424359868	True	True	False
chr17	17490000	17500000	chr17	False	-0.34247413388980175	22.0	-0.037377642834129025	97.0	0.1550282593059072	2497.0	0.6776299595988984		0.3755181888970245	True	True	False
chr17	17580000	17590000	chr17	False	-0.16738596445761808	22.0	0.16897298307135267	97.0	0.06999974723819861	2497.0	0.4073946408123601			True	False	False
chr17	17660000	17670000	chr17	False	-0.46075944723973195	22.0	-0.5284966861575315	97.0	-0.1663829485764165	2497.0	0.9130932846940654	0.1782345497439653	1.0244164719764082	True	True	False
chr17	17790000	17800000	chr17	False	-0.07346044307777991	22.0	0.13012233114388333	97.0	-0.01437937782317251	2497.0	0.399237825176744	0.01934246687625052		True	False	False
chr17	18040000	18050000	chr17	False	-0.36576778048005454	22.0	-0.4223601527149845	97.0	-0.5434973345856772	2297.0	0.850189062115453		0.7611592569698288	True	True	False
chr17	18490000	18500000	chr17	True	-0.8757095303975493	16.0	-0.4545924028105707	48.0	-0.19805814411968858	2162.0	1.6397461168578387	0.06471684230922631		True	False	False
chr17	18620000	18630000	chr17	False	-0.45426206879039577	17.0	-0.2304804166625117	77.0	0.15984948288895726	1801.0	0.8567823105421906			True	False	False
chr17	18690000	18700000	chr17	False	-0.17421627261511247	22.0	0.2587112939203074	87.0	0.5760309134678554	1493.0	0.462100612047505			True	False	False
chr17	18790000	18800000	chr17	False	-0.1938554373633587	22.0	-0.03607568907020299	97.0	0.6034415748708811	1317.0	0.5124859822546287			True	False	False
chr17	19360000	19370000	chr17	False	-0.17158200778263102	22.0	-0.06801054437773507	97.0	0.16783147776292798	1497.0	0.7518979269461921			True	False	False
chr17	19510000	19520000	chr17	False	-0.3082538837306392	22.0	-0.03457816978833399	97.0	0.8283386323507624	1497.0	0.6488573651438083		0.4510382764747393	True	True	False
chr17	19770000	19780000	chr17	False	-0.5863658476484532	22.0	-0.6071337618985827	97.0	-0.19579328355732906	2497.0	0.9550192809948292		0.9633233351929793	True	True	False
chr17	19980000	19990000	chr17	False	-0.5768082381422497	22.0	-0.549877175529216	97.0	-0.09563856241477556	2447.0	0.6785270503504957		0.7069352799126365	True	True	False
chr17	20110000	20120000	chr17	False	-0.6107107785816068	22.0	-0.4284047607919823	97.0	0.15185335964332652	2347.0	1.007382352260312	0.03934819061062636	0.7842993374994848	True	True	False
chr17	20220000	20230000	chr17	False	-0.11427684947694002	22.0	0.16005543983139614	97.0	0.24102541403464972	2347.0	0.43711551270957083		0.025401282055552837	True	False	False
chr17	20330000	20340000	chr17	False	-0.6626063803654486	22.0	-0.6316179858571651	97.0	-0.1256014130989562	2347.0	0.7011727134063097			True	False	False
chr17	20440000	20450000	chr17	True	-0.7304703309287841	16.0	-0.6829385907528132	72.0	0.002538209266299074	2254.0	1.0565483579749333	0.02557824823406808	1.2295224216273208	True	True	False
chr17	20790000	20800000	chr17	False	-0.3296317379602402	22.0	-0.19076550802009065	87.0	0.09274714893141288	2300.0	0.5280244884035865			True	False	False
chr17	20860000	20870000	chr17	True	-0.18547324993228512	16.0	-0.044615815634592104	81.0	-0.07649137560334879	2254.0	0.34101115459524595	0.037133846243454185	0.050635151462204826	True	False	False
chr17	21030000	21040000	chr17	False	-0.43406882996109913	22.0	-0.40090172053888073	97.0	-0.2891681850789984	2397.0	0.7395606728687463			True	False	False
chr17	21110000	21120000	chr17	False	-0.3203140599102765	22.0	-0.03897823086016001	97.0	-0.12409595554009661	2398.0	0.5302595355850751		0.07214236372785099	True	False	False
chr17	21290000	21300000	chr17	False	-0.8108609279734456	22.0	-0.5132674044398797	97.0	-0.0785612681484217	2153.0	1.8139027133549166	0.009735474628551191	0.7936226581944859	True	True	False
chr17	21440000	21450000	chr17	False	-0.44419583773823795	22.0	0.02170068358397476	97.0	0.36388765492832026	1647.0	0.7431121243955101			True	False	False
chr17	21520000	21530000	chr17	False	-0.0797290585652895	22.0	-0.08799830692512543	87.0	0.3771029629946493	1247.0	0.799225430806114			True	False	False
chr17	22120000	22130000	chr17	False	0.37540604058375693	22.0	0.786104442284319	77.0	1.3718646808963837	779.0	0.4452187710490907			True	False	False
chr17	27240000	27250000	chr17	False	-0.27971604625500884	22.0	0.21179386178158563	57.0	0.47387548087575004	1047.0	0.8027286037622976			True	False	False
chr17	27350000	27360000	chr17	False	-0.29369079938733095	22.0	-0.21068604767574722	97.0	0.49187475315218077	1597.0	0.8208283086751149		0.9057981316066723	True	True	False
chr17	27440000	27450000	chr17	False	-0.22366748081488377	22.0	-0.09866215162744689	97.0	0.49012944165853245	1997.0	0.45345221927105284	0.048077548844721374	0.07909081628080483	True	False	False
chr17	27650000	27660000	chr17	False	-0.4081754646409019	22.0	-0.37096903368466716	97.0	-0.03948382006131984	2347.0	1.2173483346042684			True	False	False
chr17	27750000	27760000	chr17	False	-0.4987574271721358	22.0	-0.2781601946235253	97.0	-0.18276716645663926	2497.0	1.1266532232858517	0.4337784126582898		True	False	True
chr17	27880000	27890000	chr17	False	-0.6547897138336936	22.0	-0.3385646110708756	97.0	-0.07737460986798013	2497.0	1.3208140968587903			True	False	False
chr17	28230000	28240000	chr17	False	-0.2562799849518703	22.0	-0.1882592247942501	97.0	-0.29660304432834056	2497.0	0.4676349458889473		0.14089122237699947	True	False	False
chr17	28340000	28350000	chr17	False	-0.5497252203305345	22.0	-0.6722292359486499	97.0	-1.0096764662724356	2497.0	0.8633966704729819	0.1572740809071218	1.0508081767849093	True	True	False
chr17	28550000	28560000	chr17	False	-0.38690487866446627	22.0	-0.29568461159847664	97.0	-1.107183207528709	2497.0	0.9903024823430981	2.105151616274449	0.5200329173453349	True	True	True
chr17	28710000	28720000	chr17	False	-0.7000865603952717	22.0	-0.79762221901272	97.0	-0.9783663337596671	2497.0	1.394469376174715	0.16506564331509388	1.6536700031818738	True	True	False
chr17	28950000	28960000	chr17	False	-0.5875231418462826	22.0	-0.5808448836905815	97.0	-0.67504867265832	2497.0	1.1890387737201848			True	False	False
chr17	29120000	29130000	chr17	False	-0.4100423121693519	22.0	-0.42354568412135907	97.0	-0.5823968969056263	2497.0	0.9194194967131428	0.347572262600424	0.9342879359432257	True	True	True
chr17	29360000	29370000	chr17	False	-0.2606810906541899	22.0	-0.14290575106536704	97.0	-0.18130961949823476	2497.0	0.6659858719550544		0.45317079268144955	True	True	False
chr17	29560000	29570000	chr17	False	-0.42995292518421546	22.0	-0.6683280997323275	97.0	-0.36217810169807074	2497.0	0.3421244647311969		0.060776224948598245	True	False	False
chr17	29620000	29630000	chr17	False	-0.724403653139243	22.0	-0.8114186318473604	97.0	-0.31756389685225195	2497.0	1.061375246947379		1.3918829914686004	True	True	False
chr17	29790000	29800000	chr17	False	-0.4432998158415961	22.0	-0.3623970027386449	97.0	0.23335019077254435	2497.0	0.7397792522827936		0.7095611548428733	True	True	False
chr17	29930000	29940000	chr17	False	-0.35022101044521875	22.0	-0.02716794014437587	97.0	0.37683870037583733	2497.0	0.6317923150144893		0.270999090963593	True	False	False
chr17	30020000	30030000	chr17	False	-0.07502930517666859	22.0	0.14724884946266237	97.0	0.2618254507165171	2497.0	0.37187431871693377			True	False	False
chr17	30100000	30110000	chr17	False	-0.799065116200452	22.0	-0.7822893673862923	97.0	-0.012620019194628842	2497.0	1.4659815071525446	0.20383773816028486	1.2539846142883366	True	True	False
chr17	30340000	30350000	chr17	False	-0.20215284121842403	22.0	-0.15340110960507747	97.0	0.05733375818661748	2497.0	0.48847542850031594			True	False	False
chr17	30720000	30730000	chr17	False	-0.4064065250789902	22.0	-0.2910745365476279	97.0	-0.09463380863075647	2497.0	0.5742083506308286			True	False	False
chr17	30900000	30910000	chr17	False	-0.44749677649416475	22.0	-0.4496768168565617	97.0	-0.3243078669981996	2497.0	0.6829539204770467		0.843156753313361	True	True	False
chr17	31220000	31230000	chr17	False	-0.3373987342599162	22.0	-0.2525428725401561	97.0	0.15404886927782555	2497.0	0.5318505116608361			True	False	False
chr17	31370000	31380000	chr17	False	-0.6300727735116846	22.0	-0.7588545798921309	97.0	-0.18469535052806987	2497.0	1.069319696044573	0.5346295279948492	1.2670586483055248	True	True	True
chr17	31540000	31550000	chr17	False	-0.5870687573908768	22.0	-0.6264361353215029	97.0	0.07682943523318005	2497.0	0.9200538446557239		1.0194631232963542	True	True	False
chr17	31840000	31850000	chr17	False	-0.8180530898718213	22.0	-0.9107599166471163	97.0	-0.4503590371596388	2497.0	1.6064428777017086			True	False	False
chr17	32140000	32150000	chr17	False	-0.47988121687089447	22.0	-0.3936022258634896	97.0	-0.43010595080521896	2497.0	0.9359728808309083			True	False	False
chr17	32340000	32350000	chr17	False	-0.2796777534571414	22.0	-0.22210321765877117	97.0	-0.4470668195412737	2497.0	0.49723160184354853			True	False	False
chr17	32470000	32480000	chr17	False	-0.62842205500419	22.0	-0.7804066350587475	97.0	-0.5439951116313032	2497.0	0.9873820643863026		1.187382221608225	True	True	False
chr17	32640000	32650000	chr17	False	-0.18290858142049043	22.0	-0.03754296435601768	97.0	0.01532752342691496	2497.0	0.3606220963229536			True	False	False
chr17	32770000	32780000	chr17	False	-0.6502186108502652	22.0	-0.49662782489201845	97.0	-0.09508641977430235	2497.0	1.3091039072306572	0.10898224041298345	0.8048311685644429	True	True	False
chr17	32930000	32940000	chr17	False	-0.5079223434115134	22.0	-0.515656257961497	97.0	-0.35124427985472295	2497.0	0.7446752761581084			True	False	False
chr17	33020000	33030000	chr17	False	-0.4155891457290147	22.0	-0.5013656555930941	97.0	-0.31545889931406085	2497.0	0.3945381960005978			True	False	False
chr17	33280000	33290000	chr17	False	-0.3242659470170721	22.0	-0.2850666978004711	97.0	0.4707552005875343	2497.0	0.43692902146983714		0.4917917592035784	True	True	False
chr17	33510000	33520000	chr17	False	-0.5470642447595574	22.0	-0.4447145221241624	97.0	0.3589297401429314	2497.0	0.9797238246732978			True	False	False
chr17	33660000	33670000	chr17	False	-0.37377835655402875	22.0	-0.3581870647918029	97.0	-0.014011411142812057	2497.0	0.42022273455851517			True	False	False
chr17	33770000	33780000	chr17	False	-0.39337484050177285	22.0	-0.3563007309494958	97.0	0.027243321770545992	2497.0	0.8164159202697752			True	False	False
chr17	33950000	33960000	chr17	False	-0.26122228952362253	22.0	-0.24484018777933475	97.0	0.3392177602384024	2497.0	0.5569067162538242	0.03678925200531741	0.4914992763310933	True	True	False
chr17	34180000	34190000	chr17	False	-0.639509110522488	22.0	-0.6646054528588543	97.0	-0.025686175565773833	2497.0	1.0779939662081335	0.16933776171182638	1.1880498700021245	True	True	False
chr17	34410000	34420000	chr17	False	-0.37563404348637547	22.0	-0.49815186648595156	97.0	-0.3173385293075638	2497.0	0.8182421757455401			True	False	False
chr17	34530000	34540000	chr17	False	-0.43420841969730023	22.0	-0.22316817254610108	97.0	0.1739471779512855	2497.0	0.8074435947577555		0.6486491932763497	True	True	False
chr17	34640000	34650000	chr17	False	-0.2893662967184915	22.0	0.06495812406469971	97.0	0.5120655475573517	2497.0	0.5053803109163992			True	False	False
chr17	34890000	34900000	chr17	False	-0.46754768566302835	22.0	-0.5260463145852139	97.0	0.08749739826308625	2497.0	0.42237127693629367			True	False	False
chr17	34970000	34980000	chr17	False	-0.5923100583164849	22.0	-0.663905727260008	97.0	-0.316922212426973	2497.0	1.1145897751151077	0.20223900871494277		True	False	False
chr17	35130000	35140000	chr17	False	-0.6328595268114917	22.0	-0.8215483722075638	97.0	-0.3273461172188643	2497.0	1.2035003911962332	0.897243283842246	1.4413705879692913	True	True	True
chr17	35540000	35550000	chr17	False	-0.6166375924801153	22.0	-0.8473128650296681	97.0	-0.22194993536917107	2497.0	0.899459506622159		1.6191293101588045	True	True	False
