chrom	start	end	region	is_bad_bin	log2_insulation_score_50000	n_valid_pixels_50000	log2_insulation_score_100000	n_valid_pixels_100000	log2_insulation_score_500000	n_valid_pixels_500000	boundary_strength_50000	boundary_strength_500000	boundary_strength_100000	is_boundary_50000	is_boundary_100000	is_boundary_500000
chr17	0	10000	chr17	True		0.0		0.0		0.0				False	False	False
chr17	10000	20000	chr17	True		0.0		0.0		0.0				False	False	False
chr17	20000	30000	chr17	True		0.0		0.0		0.0				False	False	False
chr17	30000	40000	chr17	True		0.0		0.0		0.0				False	False	False
chr17	40000	50000	chr17	True		0.0		0.0		0.0				False	False	False
chr17	50000	60000	chr17	True		0.0		0.0		0.0				False	False	False
chr17	60000	70000	chr17	True		0.0		0.0		0.0				False	False	False
chr17	70000	80000	chr17	True		0.0		0.0		0.0				False	False	False
chr17	80000	90000	chr17	True		0.0		0.0		0.0				False	False	False
chr17	90000	100000	chr17	True		0.0		0.0		0.0				False	False	False
chr17	100000	110000	chr17	True		0.0		0.0		0.0				False	False	False
chr17	110000	120000	chr17	False	-0.2597371502676235	3.0	-0.47562953074404907	8.0	0.8505413969301516	42.0				False	False	False
chr17	120000	130000	chr17	True	-0.5639833158711403	4.0	-0.591551544884898	9.0	0.8505413969301516	42.0				False	False	False
chr17	130000	140000	chr17	False	-0.7806983985015445	8.0	-0.5898206659653038	16.0	1.0294719387761229	84.0				False	False	False
chr17	140000	150000	chr17	False	-0.8321751781466069	12.0	-0.3649085169551712	24.0	1.4656448703112606	126.0				False	False	False
chr17	150000	160000	chr17	False	-0.606034457838187	17.0	-0.18022986912897068	33.0	1.6792168050441123	169.0				False	False	False
chr17	160000	170000	chr17	False	-0.2564752769694612	17.0	-0.005907826060098889	37.0	1.8262445379399062	212.0				False	False	False
chr17	170000	180000	chr17	False	-0.21979794040655604	22.0	0.11891396136962179	45.0	1.8802270551158125	255.0				False	False	False
chr17	180000	190000	chr17	False	0.11888723694301531	17.0	0.21456834476027373	53.0	1.8927095122817112	298.0				False	False	False
chr17	190000	200000	chr17	False	0.24057120603587454	17.0	0.3564875548032522	61.0	1.9001710432472068	341.0				False	False	False
chr17	200000	210000	chr17	False	0.22999683914818414	17.0	0.3620647985641913	69.0	1.8597022448494045	384.0	0.010574366887690395			False	False	False
chr17	210000	220000	chr17	False	0.32756994897103975	13.0	0.5351414828004757	70.0	1.8255856556649006	428.0				False	False	False
chr17	220000	230000	chr17	True	0.21326279065700277	12.0	0.4857251159329494	72.0	1.7872100839775447	430.0			0.04941636686752626	False	False	False
chr17	230000	240000	chr17	False	0.2653261586254181	14.0	0.5710978912689414	79.0	1.7691035454109205	482.0				False	False	False
chr17	240000	250000	chr17	False	0.25095684090792836	14.0	0.5917786238464127	79.0	1.7214119086606157	526.0				False	False	False
chr17	250000	260000	chr17	True	0.26315132873453184	12.0	0.5742241967860826	72.0	1.6810487373068381	528.0				False	False	False
chr17	260000	270000	chr17	False	0.38704405415633	13.0	0.541425459876488	78.0	1.6666940735230016	583.0				False	False	False
chr17	270000	280000	chr17	False	0.29798347948952064	17.0	0.486266423151832	77.0	1.6121507929257166	627.0				False	False	False
chr17	280000	290000	chr17	False	0.2581797162595764	17.0	0.46492561935729104	77.0	1.5573762281362638	672.0				False	False	False
chr17	290000	300000	chr17	False	0.1198492140872959	17.0	0.3762720353633911	77.0	1.485752913423397	717.0				False	False	False
chr17	300000	310000	chr17	False	-0.04816237460171425	22.0	0.3379686411827153	77.0	1.4226709654191856	762.0	0.3074163830748414		0.005171701563987829	False	False	False
chr17	310000	320000	chr17	False	-0.032455322303401105	22.0	0.34314034274670313	77.0	1.3638734938443848	807.0				False	False	False
chr17	320000	330000	chr17	False	0.07175155433859742	22.0	0.2617938068820748	87.0	1.3133642767178992	852.0				False	False	False
chr17	330000	340000	chr17	False	0.1442549909150869	22.0	0.2338266424705691	87.0	1.26460013660237	897.0				False	False	False
chr17	340000	350000	chr17	False	0.2592540084731272	22.0	0.20324326348472174	87.0	1.2180451514924533	942.0				False	False	False
chr17	350000	360000	chr17	False	0.2321682194669702	22.0	0.09194275543470615	97.0	1.1661479071217917	987.0				False	False	False
chr17	360000	370000	chr17	False	0.14400973088075292	22.0	0.08903788268061802	87.0	1.104109735787124	1032.0				False	False	False
chr17	370000	380000	chr17	False	-0.08503423648593919	22.0	0.029676585259051935	77.0	1.038979977384614	1077.0				False	False	False
chr17	380000	390000	chr17	False	-0.27148382220727096	22.0	-0.016257783915007488	67.0	0.9730853586734147	1122.0			0.4532419216522036	False	True	False
chr17	390000	400000	chr17	False	-0.4181242022486978	22.0	-0.10248276794544953	57.0	0.9066274482734759	1167.0				False	False	False
chr17	400000	410000	chr17	False	-0.4520388867292291	22.0	-0.21445782374484454	57.0	0.8671670319960766	1212.0	0.7500223662187497			True	False	False
chr17	410000	420000	chr17	False	-0.2570989643509796	17.0	-0.14956046808454018	57.0	0.8530063412505409	1257.0				False	False	False
chr17	420000	430000	chr17	False	0.023284157458884337	12.0	-0.006401350571563899	57.0	0.8576975374428746	1302.0				False	False	False
chr17	430000	440000	chr17	False	0.25494181565637514	7.0	0.11838720528567158	57.0	0.851243366856508	1347.0				False	False	False
chr17	440000	450000	chr17	False	0.37918508103690696	3.0	0.21786264476113937	58.0	0.8475005717333359	1393.0				False	False	False
chr17	450000	460000	chr17	True	0.4762190983842838	4.0	0.25975688550472376	54.0	0.8013532969174014	1395.0				False	False	False
chr17	460000	470000	chr17	True	0.422664485941224	6.0	0.32323502739722804	56.0	0.7822451338853522	1426.0				False	False	False
chr17	470000	480000	chr17	True	0.36589479259834645	6.0	0.3777338857517025	56.0	0.7636940056047876	1457.0				False	False	False
chr17	480000	490000	chr17	True	0.4064346180760406	4.0	0.445103222520578	54.0	0.7426181704011139	1488.0				False	False	False
chr17	490000	500000	chr17	False	0.772800066953993	3.0	0.5637472509200817	58.0	0.7685001887709458	1566.0				False	False	False
chr17	500000	510000	chr17	False	0.6259562966014693	7.0	0.5573680336892133	57.0	0.758600816956009	1614.0				False	False	False
chr17	510000	520000	chr17	False	0.44711117246217835	12.0	0.47289132958390234	57.0	0.7460269537141819	1663.0				False	False	False
chr17	520000	530000	chr17	False	0.21721874634856178	17.0	0.49892415157248216	51.0	0.7301586889256393	1712.0				False	False	False
chr17	530000	540000	chr17	False	0.05924983173656785	22.0	0.4369477276296544	51.0	0.7163101309735813	1761.0				False	False	False
chr17	540000	550000	chr17	False	0.0007267852411125076	22.0	0.40225510425220995	51.0	0.7038706415726695	1810.0	0.21649196110744928			False	False	False
chr17	550000	560000	chr17	False	0.0258137608549412	22.0	0.37478362165313567	60.0	0.6866439435947871	1859.0				False	False	False
chr17	560000	570000	chr17	False	0.1583486026401914	22.0	0.38237754645631744	69.0	0.6716340499051837	1908.0				False	False	False
chr17	570000	580000	chr17	False	0.3086855096310914	17.0	0.39652689922176787	78.0	0.6525136110398967	1957.0				False	False	False
chr17	580000	590000	chr17	False	0.3517923034063194	17.0	0.36661001408089217	87.0	0.6292945815635682	2006.0			0.029916885140875704	False	False	False
chr17	590000	600000	chr17	False	0.3601036126522084	17.0	0.39438580743840584	87.0	0.5969373418720949	2055.0				False	False	False
chr17	600000	610000	chr17	False	0.3031583084243862	18.0	0.43698413773719613	88.0	0.569110968882087	2105.0				False	False	False
chr17	610000	620000	chr17	True	0.12352188618106186	16.0	0.399367493227497	81.0	0.53113056576069	2058.0	0.23658172647114656	0.004806992529118204	0.02915144102782219	False	False	False
chr17	620000	630000	chr17	False	0.17089620901805078	18.0	0.4285189342553192	88.0	0.5359375582898082	2148.0				False	False	False
chr17	630000	640000	chr17	False	0.20594309750866305	17.0	0.39024312524846994	87.0	0.5161602498105604	2147.0				False	False	False
chr17	640000	650000	chr17	False	0.34517096806857145	17.0	0.3229329497925928	87.0	0.4866817333710143	2147.0				False	False	False
chr17	650000	660000	chr17	False	0.3678069365956026	17.0	0.22922627565659848	87.0	0.4479029115257783	2147.0				False	False	False
chr17	660000	670000	chr17	False	0.21515086089392407	22.0	0.11489707104639442	87.0	0.40415848688812794	2147.0				False	False	False
chr17	670000	680000	chr17	False	0.10902400180643139	22.0	0.018355882070347853	87.0	0.35167253379681884	2147.0				False	False	False
chr17	680000	690000	chr17	False	-0.06759574710087585	22.0	-0.0971384740953773	87.0	0.2974370619179867	2147.0				False	False	False
chr17	690000	700000	chr17	False	-0.25665244954299987	22.0	-0.2574773642701231	87.0	0.23423498355083003	2147.0				False	False	False
chr17	700000	710000	chr17	False	-0.33677241330975854	22.0	-0.3676447155538517	87.0	0.16788386244492962	2147.0				False	False	False
chr17	710000	720000	chr17	False	-0.38421661084458575	22.0	-0.5104953874345273	97.0	0.11350463557701063	2147.0				False	False	False
chr17	720000	730000	chr17	False	-0.40322228315051695	22.0	-0.5585606504755235	97.0	0.07844245277035865	2197.0	0.7710292197461195		1.326143433257625	True	True	False
chr17	730000	740000	chr17	False	-0.3111811224361216	22.0	-0.5331249252269895	97.0	0.07318158018004742	2197.0		0.3105539849404766		False	False	True
chr17	740000	750000	chr17	False	-0.23908523508161672	22.0	-0.5152613199302634	97.0	0.07537105552237998	2197.0				False	False	False
chr17	750000	760000	chr17	False	-0.20509044367264123	22.0	-0.4770212716749425	97.0	0.07674257654761087	2247.0				False	False	False
chr17	760000	770000	chr17	False	-0.14883481269518012	22.0	-0.4137105398353663	97.0	0.09743689768413077	2247.0				False	False	False
chr17	770000	780000	chr17	False	-0.14819261008609616	22.0	-0.3579145978171861	97.0	0.11583838307822493	2247.0				False	False	False
chr17	780000	790000	chr17	False	-0.18773049527835953	22.0	-0.31409341401550456	97.0	0.1436364549048138	2247.0	0.03953788519226337			False	False	False
chr17	790000	800000	chr17	False	-0.06804267111573874	22.0	-0.19640297055509714	97.0	0.1925058426492071	2247.0				False	False	False
chr17	800000	810000	chr17	False	0.057671938731258296	22.0	-0.02519776348731986	97.0	0.249422206427979	2247.0				False	False	False
chr17	810000	820000	chr17	False	0.21657196676471588	22.0	0.1217382123829147	97.0	0.2900166471115112	2247.0				False	False	False
chr17	820000	830000	chr17	False	0.3381993065358403	22.0	0.2152004171325294	97.0	0.321625600501001	2247.0				False	False	False
chr17	830000	840000	chr17	False	0.3936819333960605	22.0	0.3021398523122692	97.0	0.3423373475336813	2247.0				False	False	False
