chrom	start	end
chr17	0	380000
chr17	390000	720000
chr17	730000	1000000
chr17	1010000	1210000
chr17	1220000	1520000
chr17	1530000	1640000
chr17	1650000	1890000
chr17	1900000	2050000
chr17	2060000	2340000
chr17	2350000	2690000
chr17	2700000	3050000
chr17	3060000	3670000
chr17	3680000	3840000
chr17	3850000	4190000
chr17	4200000	4410000
chr17	4420000	4710000
chr17	4720000	4900000
chr17	4910000	5080000
chr17	5090000	5490000
chr17	5500000	5780000
chr17	5790000	6060000
chr17	6070000	6280000
chr17	6290000	6430000
chr17	6440000	6650000
chr17	6660000	6890000
chr17	6900000	7020000
chr17	7030000	7190000
chr17	7200000	7580000
chr17	7590000	7710000
chr17	7720000	7850000
chr17	7860000	8060000
chr17	8070000	8380000
chr17	8390000	8790000
chr17	8800000	8990000
chr17	9000000	9290000
chr17	9300000	9550000
chr17	9560000	9720000
chr17	9730000	9900000
chr17	9910000	10280000
chr17	10290000	10620000
chr17	10630000	10870000
chr17	10880000	11510000
chr17	11520000	11610000
chr17	11620000	11990000
chr17	12000000	12170000
chr17	12180000	12750000
chr17	12760000	13020000
chr17	13030000	13320000
chr17	13330000	13590000
chr17	13600000	14290000
chr17	14300000	14930000
chr17	14940000	15230000
chr17	15240000	15530000
chr17	15540000	15810000
chr17	15820000	16000000
chr17	16010000	16340000
chr17	16350000	16530000
chr17	16540000	16700000
chr17	16710000	16990000
chr17	17000000	17340000
chr17	17350000	17480000
chr17	17490000	17660000
chr17	17670000	18080000
chr17	18090000	18790000
chr17	18800000	19350000
chr17	19360000	19510000
chr17	19520000	19770000
chr17	19780000	19980000
chr17	19990000	20110000
chr17	20120000	20330000
chr17	20340000	20780000
chr17	20790000	21000000
chr17	21010000	21270000
chr17	21280000	21430000
chr17	27360000	27640000
chr17	27650000	27750000
chr17	27760000	27890000
chr17	27900000	28330000
chr17	28340000	28550000
chr17	28560000	28710000
chr17	28720000	28940000
chr17	28950000	29120000
chr17	29130000	29360000
chr17	29370000	29620000
chr17	29630000	29790000
chr17	29800000	30100000
chr17	30110000	30340000
chr17	30350000	30900000
chr17	30910000	31220000
chr17	31230000	31380000
chr17	31390000	31550000
chr17	31560000	31850000
chr17	31860000	32150000
chr17	32160000	32470000
chr17	32480000	32770000
chr17	32780000	33000000
chr17	33010000	33280000
chr17	33290000	33520000
chr17	33530000	33680000
chr17	33690000	33950000
chr17	33960000	34180000
chr17	34190000	34380000
chr17	34390000	34530000
chr17	34540000	34650000
chr17	34660000	34960000
chr17	34970000	35130000
chr17	35140000	35540000
chr17	35550000	35810000
chr17	35820000	35960000
chr17	35970000	36600000
chr17	36610000	36940000
chr17	36950000	37400000
chr17	37410000	37630000
chr17	37640000	38310000
chr17	38320000	38740000
chr17	38750000	38970000
chr17	38980000	39180000
chr17	39190000	39400000
chr17	39410000	39530000
chr17	39540000	39980000
chr17	39990000	40180000
chr17	40190000	40360000
chr17	40370000	40600000
chr17	40610000	40890000
chr17	40900000	41320000
chr17	41330000	41680000
chr17	41690000	42010000
chr17	42020000	42130000
chr17	42140000	42530000
chr17	42540000	42820000
chr17	42830000	42970000
chr17	42980000	43370000
chr17	43380000	43490000
chr17	43500000	43770000
chr17	43780000	44190000
chr17	44200000	44360000
chr17	44370000	44520000
chr17	44530000	44700000
chr17	44710000	44900000
chr17	44910000	45120000
chr17	45130000	45410000
chr17	45420000	45990000
chr17	46000000	46190000
chr17	46200000	46830000
chr17	46840000	47190000
chr17	47200000	47330000
chr17	47340000	47480000
chr17	47490000	47640000
chr17	47650000	47820000
chr17	47830000	48020000
chr17	48030000	48140000
chr17	48150000	48630000
chr17	48640000	48900000
chr17	48910000	49050000
chr17	49060000	49280000
chr17	49290000	49400000
chr17	49410000	49560000
chr17	49570000	49700000
chr17	49710000	49850000
chr17	49860000	50000000
chr17	50010000	50160000
chr17	50170000	50350000
chr17	50360000	50470000
chr17	50480000	50730000
chr17	50740000	50960000
chr17	50970000	51290000
chr17	51300000	51550000
chr17	51560000	51740000
chr17	51750000	52150000
chr17	52160000	52360000
chr17	52370000	52590000
chr17	52600000	53020000
chr17	53030000	53630000
chr17	53640000	54170000
chr17	54180000	54430000
chr17	54440000	54890000
chr17	54900000	55370000
chr17	55380000	55520000
chr17	55530000	55830000
chr17	55840000	56110000
chr17	56120000	56320000
chr17	56330000	56480000
chr17	56490000	56790000
chr17	56800000	56970000
chr17	56980000	57120000
chr17	57130000	57240000
chr17	57250000	57840000
chr17	57850000	57990000
chr17	58000000	58190000
chr17	58200000	58510000
chr17	58520000	58700000
chr17	58710000	59300000
chr17	59310000	59710000
chr17	59720000	59890000
chr17	59900000	60080000
chr17	60090000	60430000
chr17	60440000	60680000
chr17	60690000	60960000
chr17	60970000	61390000
chr17	61400000	61580000
chr17	61590000	61850000
chr17	61860000	62110000
chr17	62120000	62410000
chr17	62420000	62690000
chr17	62700000	62970000
chr17	62980000	63410000
chr17	63420000	63700000
chr17	63710000	63850000
chr17	63860000	64020000
chr17	64030000	64140000
chr17	64150000	64290000
chr17	64300000	64420000
chr17	64430000	64770000
chr17	64780000	65220000
chr17	65230000	65560000
chr17	65570000	65790000
chr17	65800000	65990000
chr17	66000000	66180000
chr17	66190000	66700000
chr17	66710000	67050000
chr17	67060000	67370000
chr17	67380000	67700000
chr17	67710000	68050000
chr17	68060000	68250000
chr17	68260000	68460000
chr17	68470000	68770000
chr17	68780000	69060000
chr17	69070000	69240000
chr17	69250000	69550000
chr17	69560000	70150000
chr17	70160000	70620000
chr17	70630000	70770000
chr17	70780000	71080000
chr17	71090000	71470000
chr17	71480000	72110000
chr17	72120000	72540000
chr17	72550000	72720000
