chrom	sample1	sample1_start	sample1_end	sample1_dist_upstream	sample1_dist_downstream	sample1_adaptive_threshold	sample2	sample2_start	sample2_end	sample2_dist_upstream	sample2_dist_downstream	sample2_adaptive_threshold	distance	direction	abs_distance	min_threshold	final_classification
chr17	hiPSC_var	380000.0	390000.0	inf	330000.0	inf	hiPSC_nor	380000.0	390000.0	inf	330000.0	inf	0.0	No_shift	0.0	inf	Stable_boundary
chr17	hiPSC_var	720000.0	730000.0	330000.0	270000.0	135000.0	hiPSC_nor	720000.0	730000.0	330000.0	260000.0	130000.0	0.0	No_shift	0.0	130000.0	Stable_boundary
chr17	hiPSC_var	1000000.0	1010000.0	270000.0	200000.0	100000.0	hiPSC_nor	990000.0	1000000.0	260000.0	520000.0	130000.0	-10000.0	Upstream	10000.0	100000.0	Boundary_shift
chr17	hiPSC_var	1210000.0	1220000.0	200000.0	300000.0	100000.0	hiPSC_nor	990000.0	1000000.0	260000.0	520000.0	130000.0	-220000.0	Upstream	220000.0	100000.0	Unique_boundary
chr17	hiPSC_var	1520000.0	1530000.0	300000.0	110000.0	55000.0	hiPSC_nor	1520000.0	1530000.0	520000.0	120000.0	60000.0	0.0	No_shift	0.0	55000.0	Stable_boundary
chr17	hiPSC_var	1640000.0	1650000.0	110000.0	240000.0	55000.0	hiPSC_nor	1650000.0	1660000.0	120000.0	230000.0	60000.0	10000.0	Downstream	10000.0	55000.0	Boundary_shift
chr17	hiPSC_var	1890000.0	1900000.0	240000.0	150000.0	75000.0	hiPSC_nor	1890000.0	1900000.0	230000.0	150000.0	75000.0	0.0	No_shift	0.0	75000.0	Stable_boundary
chr17	hiPSC_var	2050000.0	2060000.0	150000.0	280000.0	75000.0	hiPSC_nor	2050000.0	2060000.0	150000.0	250000.0	75000.0	0.0	No_shift	0.0	75000.0	Stable_boundary
chr17	hiPSC_var	2340000.0	2350000.0	280000.0	340000.0	140000.0	hiPSC_nor	2310000.0	2320000.0	250000.0	370000.0	125000.0	-30000.0	Upstream	30000.0	125000.0	Boundary_shift
chr17	hiPSC_var	2690000.0	2700000.0	340000.0	350000.0	170000.0	hiPSC_nor	2690000.0	2700000.0	370000.0	340000.0	170000.0	0.0	No_shift	0.0	170000.0	Stable_boundary
chr17	hiPSC_var	3050000.0	3060000.0	350000.0	610000.0	175000.0	hiPSC_nor	3040000.0	3050000.0	340000.0	380000.0	170000.0	-10000.0	Upstream	10000.0	170000.0	Boundary_shift
chr17	hiPSC_var	3670000.0	3680000.0	610000.0	160000.0	80000.0	hiPSC_nor	3670000.0	3680000.0	230000.0	160000.0	80000.0	0.0	No_shift	0.0	80000.0	Stable_boundary
chr17	hiPSC_var	3840000.0	3850000.0	160000.0	340000.0	80000.0	hiPSC_nor	3840000.0	3850000.0	160000.0	340000.0	80000.0	0.0	No_shift	0.0	80000.0	Stable_boundary
chr17	hiPSC_var	4190000.0	4200000.0	340000.0	210000.0	105000.0	hiPSC_nor	4190000.0	4200000.0	340000.0	210000.0	105000.0	0.0	No_shift	0.0	105000.0	Stable_boundary
