chrom	start	end
chr17	0	730000
chr17	740000	1110000
chr17	1120000	1650000
chr17	1660000	2360000
chr17	2370000	2770000
chr17	2780000	3030000
chr17	3040000	3670000
chr17	3680000	5480000
chr17	5490000	6440000
chr17	6450000	7020000
chr17	7030000	7200000
chr17	7210000	7580000
chr17	7590000	8380000
chr17	8390000	8790000
chr17	8800000	9710000
chr17	9720000	10850000
chr17	10860000	11990000
chr17	12000000	13020000
chr17	13030000	14250000
chr17	14260000	15220000
chr17	15230000	15540000
chr17	15550000	16340000
chr17	16350000	16840000
chr17	16850000	18070000
chr17	18080000	19780000
chr17	19790000	20350000
chr17	20360000	21000000
chr17	27760000	28550000
chr17	28560000	28940000
chr17	28950000	29120000
chr17	29130000	29570000
chr17	29580000	30840000
chr17	30850000	31370000
chr17	31380000	31900000
chr17	31910000	32440000
chr17	32450000	32940000
chr17	32950000	33700000
chr17	33710000	34380000
chr17	34390000	35130000
chr17	35140000	35810000
chr17	35820000	37390000
chr17	37400000	38740000
chr17	38750000	39530000
chr17	39540000	40180000
chr17	40190000	40590000
chr17	40600000	41680000
chr17	41690000	42540000
chr17	42550000	43320000
chr17	43330000	43860000
chr17	43870000	44360000
chr17	44370000	44720000
chr17	44730000	45130000
chr17	45140000	47820000
chr17	47830000	48640000
chr17	48650000	48890000
chr17	48900000	50100000
chr17	50110000	50470000
chr17	50480000	50720000
chr17	50730000	51260000
chr17	51270000	52140000
chr17	52150000	53020000
chr17	53030000	54910000
chr17	54920000	55820000
chr17	55830000	56960000
chr17	56970000	57830000
chr17	57840000	58190000
chr17	58200000	58500000
chr17	58510000	59150000
chr17	59160000	60080000
chr17	60090000	60670000
chr17	60680000	61590000
chr17	61600000	62410000
chr17	62420000	63840000
chr17	63850000	64780000
chr17	64790000	65210000
chr17	65220000	66180000
chr17	66190000	66700000
chr17	66710000	67090000
chr17	67100000	67950000
chr17	67960000	68480000
chr17	68490000	69310000
chr17	69320000	70630000
chr17	70640000	72550000
chr17	72560000	73230000
chr17	73240000	74200000
chr17	74210000	74870000
chr17	74880000	75770000
chr17	75780000	76720000
chr17	76730000	77270000
chr17	77280000	78120000
chr17	78130000	78980000
chr17	78990000	79720000
chr17	79730000	80990000
chr17	81000000	82230000
chr17	82240000	83257441
